kirana_id,kirana_name,distributor_id,pin_code
KIR0001,Sri Ram Provisions 1,DIST020,400034
KIR0002,Sri Ram Provisions 2,DIST002,400094
KIR0003,Sri Ram Provisions 3,DIST015,400069
KIR0004,Sri Ram Provisions 4,DIST004,400049
KIR0005,Sri Ram Provisions 5,DIST003,400071
KIR0006,Sri Ram Provisions 6,DIST010,400081
KIR0007,Sri Ram Provisions 7,DIST020,400047
KIR0008,Sri Ram Provisions 8,DIST019,400025
KIR0009,Sri Ram Provisions 9,DIST003,400006
KIR0010,Sri Ram Provisions 10,DIST008,400099
KIR0011,Sri Ram Provisions 11,DIST010,400011
KIR0012,Sri Ram Provisions 12,DIST008,400013
KIR0013,Sri Ram Provisions 13,DIST013,400036
KIR0014,Sri Ram Provisions 14,DIST015,400082
KIR0015,Sri Ram Provisions 15,DIST012,400021
KIR0016,Sri Ram Provisions 16,DIST012,400046
KIR0017,Sri Ram Provisions 17,DIST007,400086
KIR0018,Sri Ram Provisions 18,DIST009,400090
KIR0019,Sri Ram Provisions 19,DIST003,400078
KIR0020,Sri Ram Provisions 20,DIST006,400069
KIR0021,Sri Ram Provisions 21,DIST008,400021
KIR0022,Sri Ram Provisions 22,DIST015,400049
KIR0023,Sri Ram Provisions 23,DIST009,400082
KIR0024,Sri Ram Provisions 24,DIST018,400029
KIR0025,Sri Ram Provisions 25,DIST011,400099
KIR0026,Sri Ram Provisions 26,DIST002,400030
KIR0027,Sri Ram Provisions 27,DIST002,400041
KIR0028,Sri Ram Provisions 28,DIST013,400035
KIR0029,Sri Ram Provisions 29,DIST003,400028
KIR0030,Sri Ram Provisions 30,DIST019,400092
KIR0031,Sri Ram Provisions 31,DIST011,400028
KIR0032,Sri Ram Provisions 32,DIST016,400051
KIR0033,Sri Ram Provisions 33,DIST015,400019
KIR0034,Sri Ram Provisions 34,DIST009,400018
KIR0035,Sri Ram Provisions 35,DIST008,400096
KIR0036,Sri Ram Provisions 36,DIST018,400069
KIR0037,Sri Ram Provisions 37,DIST009,400096
KIR0038,Sri Ram Provisions 38,DIST019,400055
KIR0039,Sri Ram Provisions 39,DIST019,400052
KIR0040,Sri Ram Provisions 40,DIST012,400029
KIR0041,Sri Ram Provisions 41,DIST005,400066
KIR0042,Sri Ram Provisions 42,DIST016,400012
KIR0043,Sri Ram Provisions 43,DIST002,400015
KIR0044,Sri Ram Provisions 44,DIST005,400081
KIR0045,Sri Ram Provisions 45,DIST006,400088
KIR0046,Sri Ram Provisions 46,DIST014,400077
KIR0047,Sri Ram Provisions 47,DIST003,400050
KIR0048,Sri Ram Provisions 48,DIST013,400077
KIR0049,Sri Ram Provisions 49,DIST015,400068
KIR0050,Sri Ram Provisions 50,DIST009,400071
KIR0051,Sri Ram Provisions 51,DIST001,400088
KIR0052,Sri Ram Provisions 52,DIST004,400088
KIR0053,Sri Ram Provisions 53,DIST018,400097
KIR0054,Sri Ram Provisions 54,DIST009,400099
KIR0055,Sri Ram Provisions 55,DIST011,400015
KIR0056,Sri Ram Provisions 56,DIST010,400056
KIR0057,Sri Ram Provisions 57,DIST006,400059
KIR0058,Sri Ram Provisions 58,DIST001,400093
KIR0059,Sri Ram Provisions 59,DIST009,400065
KIR0060,Sri Ram Provisions 60,DIST006,400065
KIR0061,Sri Ram Provisions 61,DIST004,400081
KIR0062,Sri Ram Provisions 62,DIST010,400082
KIR0063,Sri Ram Provisions 63,DIST017,400078
KIR0064,Sri Ram Provisions 64,DIST007,400020
KIR0065,Sri Ram Provisions 65,DIST012,400098
KIR0066,Sri Ram Provisions 66,DIST006,400070
KIR0067,Sri Ram Provisions 67,DIST017,400001
KIR0068,Sri Ram Provisions 68,DIST020,400042
KIR0069,Sri Ram Provisions 69,DIST016,400003
KIR0070,Sri Ram Provisions 70,DIST004,400047
KIR0071,Sri Ram Provisions 71,DIST010,400031
KIR0072,Sri Ram Provisions 72,DIST002,400031
KIR0073,Sri Ram Provisions 73,DIST019,400011
KIR0074,Sri Ram Provisions 74,DIST003,400094
KIR0075,Sri Ram Provisions 75,DIST016,400009
KIR0076,Sri Ram Provisions 76,DIST018,400099
KIR0077,Sri Ram Provisions 77,DIST005,400017
KIR0078,Sri Ram Provisions 78,DIST016,400071
KIR0079,Sri Ram Provisions 79,DIST006,400034
KIR0080,Sri Ram Provisions 80,DIST017,400078
KIR0081,Sri Ram Provisions 81,DIST014,400028
KIR0082,Sri Ram Provisions 82,DIST018,400097
KIR0083,Sri Ram Provisions 83,DIST007,400092
KIR0084,Sri Ram Provisions 84,DIST010,400052
KIR0085,Sri Ram Provisions 85,DIST012,400057
KIR0086,Sri Ram Provisions 86,DIST017,400058
KIR0087,Sri Ram Provisions 87,DIST004,400032
KIR0088,Sri Ram Provisions 88,DIST008,400009
KIR0089,Sri Ram Provisions 89,DIST011,400003
KIR0090,Sri Ram Provisions 90,DIST019,400071
KIR0091,Sri Ram Provisions 91,DIST008,400076
KIR0092,Sri Ram Provisions 92,DIST008,400001
KIR0093,Sri Ram Provisions 93,DIST003,400091
KIR0094,Sri Ram Provisions 94,DIST002,400030
KIR0095,Sri Ram Provisions 95,DIST003,400005
KIR0096,Sri Ram Provisions 96,DIST011,400010
KIR0097,Sri Ram Provisions 97,DIST017,400031
KIR0098,Sri Ram Provisions 98,DIST009,400086
KIR0099,Sri Ram Provisions 99,DIST016,400028
KIR0100,Sri Ram Provisions 100,DIST018,400017
KIR0101,Sri Ram Provisions 101,DIST019,400074
KIR0102,Sri Ram Provisions 102,DIST016,400032
KIR0103,Sri Ram Provisions 103,DIST016,400053
KIR0104,Sri Ram Provisions 104,DIST007,400013
KIR0105,Sri Ram Provisions 105,DIST004,400085
KIR0106,Sri Ram Provisions 106,DIST014,400046
KIR0107,Sri Ram Provisions 107,DIST014,400053
KIR0108,Sri Ram Provisions 108,DIST015,400094
KIR0109,Sri Ram Provisions 109,DIST002,400087
KIR0110,Sri Ram Provisions 110,DIST004,400008
KIR0111,Sri Ram Provisions 111,DIST013,400094
KIR0112,Sri Ram Provisions 112,DIST011,400014
KIR0113,Sri Ram Provisions 113,DIST008,400025
KIR0114,Sri Ram Provisions 114,DIST007,400069
KIR0115,Sri Ram Provisions 115,DIST015,400018
KIR0116,Sri Ram Provisions 116,DIST014,400024
KIR0117,Sri Ram Provisions 117,DIST009,400060
KIR0118,Sri Ram Provisions 118,DIST008,400010
KIR0119,Sri Ram Provisions 119,DIST015,400071
KIR0120,Sri Ram Provisions 120,DIST004,400007
KIR0121,Sri Ram Provisions 121,DIST018,400002
KIR0122,Sri Ram Provisions 122,DIST003,400097
KIR0123,Sri Ram Provisions 123,DIST008,400022
KIR0124,Sri Ram Provisions 124,DIST014,400063
KIR0125,Sri Ram Provisions 125,DIST016,400028
KIR0126,Sri Ram Provisions 126,DIST013,400008
KIR0127,Sri Ram Provisions 127,DIST006,400049
KIR0128,Sri Ram Provisions 128,DIST001,400050
KIR0129,Sri Ram Provisions 129,DIST009,400059
KIR0130,Sri Ram Provisions 130,DIST010,400055
KIR0131,Sri Ram Provisions 131,DIST018,400085
KIR0132,Sri Ram Provisions 132,DIST016,400020
KIR0133,Sri Ram Provisions 133,DIST007,400038
KIR0134,Sri Ram Provisions 134,DIST007,400008
KIR0135,Sri Ram Provisions 135,DIST019,400095
KIR0136,Sri Ram Provisions 136,DIST018,400008
KIR0137,Sri Ram Provisions 137,DIST011,400008
KIR0138,Sri Ram Provisions 138,DIST002,400075
KIR0139,Sri Ram Provisions 139,DIST016,400065
KIR0140,Sri Ram Provisions 140,DIST017,400021
KIR0141,Sri Ram Provisions 141,DIST002,400066
KIR0142,Sri Ram Provisions 142,DIST003,400024
KIR0143,Sri Ram Provisions 143,DIST003,400077
KIR0144,Sri Ram Provisions 144,DIST003,400087
KIR0145,Sri Ram Provisions 145,DIST008,400052
KIR0146,Sri Ram Provisions 146,DIST004,400073
KIR0147,Sri Ram Provisions 147,DIST008,400075
KIR0148,Sri Ram Provisions 148,DIST020,400006
KIR0149,Sri Ram Provisions 149,DIST020,400011
KIR0150,Sri Ram Provisions 150,DIST014,400085
KIR0151,Sri Ram Provisions 151,DIST019,400073
KIR0152,Sri Ram Provisions 152,DIST017,400041
KIR0153,Sri Ram Provisions 153,DIST009,400027
KIR0154,Sri Ram Provisions 154,DIST011,400031
KIR0155,Sri Ram Provisions 155,DIST009,400051
KIR0156,Sri Ram Provisions 156,DIST005,400086
KIR0157,Sri Ram Provisions 157,DIST010,400059
KIR0158,Sri Ram Provisions 158,DIST011,400097
KIR0159,Sri Ram Provisions 159,DIST003,400002
KIR0160,Sri Ram Provisions 160,DIST015,400080
KIR0161,Sri Ram Provisions 161,DIST019,400013
KIR0162,Sri Ram Provisions 162,DIST003,400069
KIR0163,Sri Ram Provisions 163,DIST007,400065
KIR0164,Sri Ram Provisions 164,DIST009,400017
KIR0165,Sri Ram Provisions 165,DIST012,400009
KIR0166,Sri Ram Provisions 166,DIST008,400048
KIR0167,Sri Ram Provisions 167,DIST010,400021
KIR0168,Sri Ram Provisions 168,DIST015,400070
KIR0169,Sri Ram Provisions 169,DIST010,400079
KIR0170,Sri Ram Provisions 170,DIST017,400002
KIR0171,Sri Ram Provisions 171,DIST018,400039
KIR0172,Sri Ram Provisions 172,DIST004,400018
KIR0173,Sri Ram Provisions 173,DIST009,400015
KIR0174,Sri Ram Provisions 174,DIST004,400096
KIR0175,Sri Ram Provisions 175,DIST018,400020
KIR0176,Sri Ram Provisions 176,DIST009,400037
KIR0177,Sri Ram Provisions 177,DIST020,400027
KIR0178,Sri Ram Provisions 178,DIST011,400027
KIR0179,Sri Ram Provisions 179,DIST009,400065
KIR0180,Sri Ram Provisions 180,DIST016,400033
KIR0181,Sri Ram Provisions 181,DIST002,400012
KIR0182,Sri Ram Provisions 182,DIST014,400036
KIR0183,Sri Ram Provisions 183,DIST002,400001
KIR0184,Sri Ram Provisions 184,DIST011,400099
KIR0185,Sri Ram Provisions 185,DIST005,400082
KIR0186,Sri Ram Provisions 186,DIST009,400021
KIR0187,Sri Ram Provisions 187,DIST015,400071
KIR0188,Sri Ram Provisions 188,DIST014,400072
KIR0189,Sri Ram Provisions 189,DIST001,400015
KIR0190,Sri Ram Provisions 190,DIST003,400089
KIR0191,Sri Ram Provisions 191,DIST005,400070
KIR0192,Sri Ram Provisions 192,DIST002,400048
KIR0193,Sri Ram Provisions 193,DIST019,400071
KIR0194,Sri Ram Provisions 194,DIST005,400056
KIR0195,Sri Ram Provisions 195,DIST005,400006
KIR0196,Sri Ram Provisions 196,DIST010,400047
KIR0197,Sri Ram Provisions 197,DIST002,400046
KIR0198,Sri Ram Provisions 198,DIST007,400088
KIR0199,Sri Ram Provisions 199,DIST008,400086
KIR0200,Sri Ram Provisions 200,DIST004,400046
KIR0201,Sri Ram Provisions 201,DIST018,400053
KIR0202,Sri Ram Provisions 202,DIST020,400096
KIR0203,Sri Ram Provisions 203,DIST005,400031
KIR0204,Sri Ram Provisions 204,DIST006,400023
KIR0205,Sri Ram Provisions 205,DIST014,400004
KIR0206,Sri Ram Provisions 206,DIST006,400095
KIR0207,Sri Ram Provisions 207,DIST011,400053
KIR0208,Sri Ram Provisions 208,DIST008,400035
KIR0209,Sri Ram Provisions 209,DIST006,400090
KIR0210,Sri Ram Provisions 210,DIST004,400049
KIR0211,Sri Ram Provisions 211,DIST002,400061
KIR0212,Sri Ram Provisions 212,DIST008,400026
KIR0213,Sri Ram Provisions 213,DIST015,400045
KIR0214,Sri Ram Provisions 214,DIST010,400030
KIR0215,Sri Ram Provisions 215,DIST008,400004
KIR0216,Sri Ram Provisions 216,DIST007,400052
KIR0217,Sri Ram Provisions 217,DIST011,400036
KIR0218,Sri Ram Provisions 218,DIST003,400099
KIR0219,Sri Ram Provisions 219,DIST009,400045
KIR0220,Sri Ram Provisions 220,DIST017,400052
KIR0221,Sri Ram Provisions 221,DIST018,400043
KIR0222,Sri Ram Provisions 222,DIST001,400015
KIR0223,Sri Ram Provisions 223,DIST009,400023
KIR0224,Sri Ram Provisions 224,DIST019,400034
KIR0225,Sri Ram Provisions 225,DIST002,400014
KIR0226,Sri Ram Provisions 226,DIST020,400056
KIR0227,Sri Ram Provisions 227,DIST012,400094
KIR0228,Sri Ram Provisions 228,DIST011,400056
KIR0229,Sri Ram Provisions 229,DIST020,400066
KIR0230,Sri Ram Provisions 230,DIST004,400050
KIR0231,Sri Ram Provisions 231,DIST019,400025
KIR0232,Sri Ram Provisions 232,DIST009,400006
KIR0233,Sri Ram Provisions 233,DIST014,400001
KIR0234,Sri Ram Provisions 234,DIST017,400069
KIR0235,Sri Ram Provisions 235,DIST007,400047
KIR0236,Sri Ram Provisions 236,DIST014,400009
KIR0237,Sri Ram Provisions 237,DIST011,400080
KIR0238,Sri Ram Provisions 238,DIST011,400085
