primary_order_id,date_id,distributor_id,sku_id,rep_id,qty_cases
1,20230101,DIST001,SKU001,REP01,47
2,20230101,DIST001,SKU002,REP01,17
3,20230101,DIST001,SKU003,REP01,50
4,20230101,DIST002,SKU003,REP03,33
5,20230101,DIST004,SKU001,REP01,45
6,20230101,DIST004,SKU002,REP01,26
7,20230101,DIST005,SKU003,REP01,49
8,20230101,DIST005,SKU004,REP01,48
9,20230101,DIST006,SKU001,REP04,16
10,20230101,DIST006,SKU002,REP04,19
11,20230101,DIST006,SKU005,REP04,16
12,20230101,DIST007,SKU005,REP01,28
13,20230101,DIST009,SKU003,REP01,26
14,20230101,DIST011,SKU005,REP04,23
15,20230101,DIST012,SKU001,REP04,25
16,20230101,DIST012,SKU004,REP04,18
17,20230101,DIST013,SKU003,REP03,25
18,20230101,DIST014,SKU002,REP02,18
19,20230101,DIST014,SKU004,REP02,48
20,20230101,DIST015,SKU004,REP04,40
21,20230101,DIST016,SKU005,REP03,25
22,20230101,DIST017,SKU004,REP02,20
23,20230101,DIST018,SKU001,REP01,35
24,20230101,DIST018,SKU005,REP01,31
25,20230101,DIST019,SKU005,REP04,28
26,20230102,DIST001,SKU005,REP01,14
27,20230102,DIST002,SKU002,REP03,18
28,20230102,DIST002,SKU005,REP03,39
29,20230102,DIST003,SKU005,REP02,35
30,20230102,DIST004,SKU001,REP01,14
31,20230102,DIST005,SKU004,REP01,38
32,20230102,DIST006,SKU002,REP04,23
33,20230102,DIST006,SKU003,REP04,39
34,20230102,DIST007,SKU005,REP01,34
35,20230102,DIST008,SKU005,REP02,22
36,20230102,DIST010,SKU001,REP02,12
37,20230102,DIST010,SKU002,REP02,13
38,20230102,DIST011,SKU002,REP04,36
39,20230102,DIST011,SKU004,REP04,35
40,20230102,DIST012,SKU003,REP04,45
41,20230102,DIST012,SKU005,REP04,30
42,20230102,DIST014,SKU001,REP02,10
43,20230102,DIST015,SKU002,REP04,24
44,20230102,DIST017,SKU003,REP02,27
45,20230102,DIST017,SKU004,REP02,36
46,20230102,DIST018,SKU005,REP01,19
47,20230102,DIST019,SKU004,REP04,16
48,20230102,DIST019,SKU005,REP04,20
49,20230102,DIST020,SKU004,REP03,38
50,20230102,DIST020,SKU005,REP03,40
51,20230103,DIST001,SKU003,REP01,24
52,20230103,DIST001,SKU005,REP01,41
53,20230103,DIST002,SKU001,REP03,34
54,20230103,DIST002,SKU005,REP03,39
55,20230103,DIST003,SKU001,REP02,46
56,20230103,DIST003,SKU002,REP02,35
57,20230103,DIST003,SKU005,REP02,49
58,20230103,DIST004,SKU001,REP01,13
59,20230103,DIST004,SKU003,REP01,42
60,20230103,DIST005,SKU001,REP01,48
61,20230103,DIST005,SKU004,REP01,47
62,20230103,DIST006,SKU002,REP04,45
63,20230103,DIST006,SKU003,REP04,28
64,20230103,DIST006,SKU004,REP04,27
65,20230103,DIST008,SKU001,REP02,44
66,20230103,DIST009,SKU001,REP01,48
67,20230103,DIST009,SKU004,REP01,45
68,20230103,DIST010,SKU004,REP02,26
69,20230103,DIST011,SKU003,REP04,16
70,20230103,DIST011,SKU004,REP04,39
71,20230103,DIST011,SKU005,REP04,22
72,20230103,DIST012,SKU005,REP04,43
73,20230103,DIST014,SKU003,REP02,46
74,20230103,DIST014,SKU004,REP02,37
75,20230103,DIST016,SKU004,REP03,44
76,20230103,DIST017,SKU004,REP02,28
77,20230103,DIST018,SKU003,REP01,29
78,20230103,DIST018,SKU004,REP01,42
79,20230103,DIST019,SKU002,REP04,41
80,20230103,DIST020,SKU001,REP03,41
81,20230103,DIST020,SKU004,REP03,29
82,20230104,DIST001,SKU001,REP01,29
83,20230104,DIST001,SKU003,REP01,29
84,20230104,DIST002,SKU005,REP03,43
85,20230104,DIST003,SKU004,REP02,30
86,20230104,DIST004,SKU001,REP01,30
87,20230104,DIST004,SKU002,REP01,24
88,20230104,DIST004,SKU003,REP01,28
89,20230104,DIST004,SKU005,REP01,26
90,20230104,DIST006,SKU001,REP04,19
91,20230104,DIST006,SKU005,REP04,20
92,20230104,DIST007,SKU001,REP01,24
93,20230104,DIST007,SKU003,REP01,20
94,20230104,DIST008,SKU002,REP02,17
95,20230104,DIST008,SKU005,REP02,46
96,20230104,DIST009,SKU002,REP01,30
97,20230104,DIST010,SKU004,REP02,44
98,20230104,DIST010,SKU005,REP02,48
99,20230104,DIST011,SKU002,REP04,41
100,20230104,DIST011,SKU003,REP04,46
101,20230104,DIST012,SKU004,REP04,47
102,20230104,DIST012,SKU005,REP04,22
103,20230104,DIST013,SKU002,REP03,38
104,20230104,DIST013,SKU003,REP03,18
105,20230104,DIST014,SKU003,REP02,12
106,20230104,DIST015,SKU001,REP04,31
107,20230104,DIST015,SKU002,REP04,45
108,20230104,DIST015,SKU004,REP04,10
109,20230104,DIST017,SKU002,REP02,16
110,20230104,DIST017,SKU005,REP02,22
111,20230104,DIST018,SKU001,REP01,25
112,20230104,DIST018,SKU003,REP01,22
113,20230104,DIST018,SKU005,REP01,47
114,20230104,DIST019,SKU002,REP04,21
115,20230104,DIST019,SKU003,REP04,15
116,20230104,DIST019,SKU005,REP04,35
117,20230104,DIST020,SKU002,REP03,38
118,20230104,DIST020,SKU004,REP03,15
119,20230104,DIST020,SKU005,REP03,10
120,20230105,DIST001,SKU005,REP01,38
121,20230105,DIST002,SKU002,REP03,18
122,20230105,DIST002,SKU003,REP03,41
123,20230105,DIST002,SKU004,REP03,49
124,20230105,DIST003,SKU001,REP02,34
125,20230105,DIST003,SKU004,REP02,13
126,20230105,DIST004,SKU003,REP01,35
127,20230105,DIST004,SKU004,REP01,18
128,20230105,DIST004,SKU005,REP01,32
129,20230105,DIST005,SKU003,REP01,27
130,20230105,DIST005,SKU005,REP01,22
131,20230105,DIST006,SKU003,REP04,44
132,20230105,DIST006,SKU005,REP04,50
133,20230105,DIST007,SKU001,REP01,21
134,20230105,DIST007,SKU003,REP01,13
135,20230105,DIST009,SKU002,REP01,45
136,20230105,DIST010,SKU002,REP02,30
137,20230105,DIST010,SKU004,REP02,16
138,20230105,DIST010,SKU005,REP02,31
139,20230105,DIST012,SKU002,REP04,37
140,20230105,DIST012,SKU003,REP04,40
141,20230105,DIST012,SKU004,REP04,33
142,20230105,DIST013,SKU005,REP03,18
143,20230105,DIST014,SKU001,REP02,47
144,20230105,DIST014,SKU002,REP02,12
145,20230105,DIST014,SKU005,REP02,38
146,20230105,DIST015,SKU002,REP04,13
147,20230105,DIST015,SKU003,REP04,49
148,20230105,DIST015,SKU005,REP04,16
149,20230105,DIST016,SKU001,REP03,20
150,20230105,DIST016,SKU003,REP03,21
151,20230105,DIST016,SKU004,REP03,49
152,20230105,DIST018,SKU001,REP01,28
153,20230105,DIST019,SKU001,REP04,10
154,20230105,DIST020,SKU001,REP03,16
155,20230105,DIST020,SKU005,REP03,46
156,20230106,DIST001,SKU001,REP01,45
157,20230106,DIST001,SKU005,REP01,44
158,20230106,DIST002,SKU001,REP03,18
159,20230106,DIST003,SKU001,REP02,27
160,20230106,DIST003,SKU002,REP02,32
161,20230106,DIST003,SKU003,REP02,30
162,20230106,DIST004,SKU002,REP01,36
163,20230106,DIST004,SKU005,REP01,23
164,20230106,DIST005,SKU002,REP01,17
165,20230106,DIST006,SKU002,REP04,30
166,20230106,DIST006,SKU004,REP04,20
167,20230106,DIST006,SKU005,REP04,17
168,20230106,DIST007,SKU003,REP01,41
169,20230106,DIST007,SKU004,REP01,23
170,20230106,DIST007,SKU005,REP01,17
171,20230106,DIST008,SKU001,REP02,23
172,20230106,DIST008,SKU004,REP02,10
173,20230106,DIST009,SKU003,REP01,44
174,20230106,DIST010,SKU001,REP02,15
175,20230106,DIST010,SKU004,REP02,26
176,20230106,DIST011,SKU003,REP04,45
177,20230106,DIST012,SKU001,REP04,36
178,20230106,DIST012,SKU005,REP04,17
179,20230106,DIST013,SKU001,REP03,12
180,20230106,DIST013,SKU002,REP03,33
181,20230106,DIST015,SKU001,REP04,14
182,20230106,DIST016,SKU001,REP03,42
183,20230106,DIST016,SKU005,REP03,15
184,20230106,DIST017,SKU005,REP02,22
185,20230106,DIST019,SKU004,REP04,41
186,20230106,DIST020,SKU001,REP03,19
187,20230106,DIST020,SKU002,REP03,23
188,20230107,DIST001,SKU001,REP01,30
189,20230107,DIST001,SKU004,REP01,20
190,20230107,DIST001,SKU005,REP01,49
191,20230107,DIST002,SKU004,REP03,37
192,20230107,DIST005,SKU002,REP01,46
193,20230107,DIST005,SKU003,REP01,12
194,20230107,DIST005,SKU005,REP01,22
195,20230107,DIST006,SKU004,REP04,22
196,20230107,DIST007,SKU001,REP01,34
197,20230107,DIST007,SKU003,REP01,30
198,20230107,DIST008,SKU003,REP02,38
199,20230107,DIST009,SKU001,REP01,34
200,20230107,DIST009,SKU002,REP01,29
201,20230107,DIST009,SKU005,REP01,38
202,20230107,DIST010,SKU002,REP02,24
203,20230107,DIST010,SKU003,REP02,22
204,20230107,DIST010,SKU004,REP02,32
205,20230107,DIST011,SKU005,REP04,33
206,20230107,DIST012,SKU002,REP04,50
207,20230107,DIST012,SKU004,REP04,11
208,20230107,DIST012,SKU005,REP04,39
209,20230107,DIST013,SKU001,REP03,30
210,20230107,DIST013,SKU004,REP03,24
211,20230107,DIST013,SKU005,REP03,41
212,20230107,DIST014,SKU005,REP02,39
213,20230107,DIST015,SKU001,REP04,19
214,20230107,DIST015,SKU002,REP04,27
215,20230107,DIST015,SKU004,REP04,26
216,20230107,DIST016,SKU001,REP03,22
217,20230107,DIST016,SKU002,REP03,14
218,20230107,DIST016,SKU004,REP03,50
219,20230107,DIST017,SKU003,REP02,15
220,20230107,DIST017,SKU004,REP02,12
221,20230107,DIST017,SKU005,REP02,40
222,20230107,DIST019,SKU002,REP04,13
223,20230107,DIST019,SKU003,REP04,24
224,20230107,DIST019,SKU004,REP04,25
225,20230107,DIST020,SKU004,REP03,37
226,20230107,DIST020,SKU005,REP03,16
227,20230108,DIST001,SKU001,REP01,13
228,20230108,DIST001,SKU002,REP01,43
229,20230108,DIST001,SKU004,REP01,24
230,20230108,DIST003,SKU003,REP02,37
231,20230108,DIST003,SKU004,REP02,47
232,20230108,DIST004,SKU001,REP01,19
233,20230108,DIST004,SKU003,REP01,30
234,20230108,DIST005,SKU003,REP01,18
235,20230108,DIST006,SKU001,REP04,49
236,20230108,DIST007,SKU003,REP01,47
237,20230108,DIST008,SKU001,REP02,37
238,20230108,DIST009,SKU003,REP01,47
239,20230108,DIST010,SKU002,REP02,28
240,20230108,DIST010,SKU004,REP02,24
241,20230108,DIST011,SKU004,REP04,48
242,20230108,DIST012,SKU004,REP04,50
243,20230108,DIST012,SKU005,REP04,23
244,20230108,DIST013,SKU001,REP03,15
245,20230108,DIST013,SKU002,REP03,21
246,20230108,DIST013,SKU005,REP03,12
247,20230108,DIST014,SKU003,REP02,45
248,20230108,DIST015,SKU001,REP04,42
249,20230108,DIST016,SKU005,REP03,20
250,20230108,DIST017,SKU001,REP02,13
251,20230108,DIST018,SKU002,REP01,48
252,20230108,DIST019,SKU002,REP04,31
253,20230108,DIST019,SKU004,REP04,43
254,20230108,DIST019,SKU005,REP04,21
255,20230108,DIST020,SKU002,REP03,18
256,20230109,DIST001,SKU002,REP01,48
257,20230109,DIST001,SKU004,REP01,15
258,20230109,DIST002,SKU004,REP03,12
259,20230109,DIST002,SKU005,REP03,29
260,20230109,DIST003,SKU003,REP02,49
261,20230109,DIST004,SKU001,REP01,32
262,20230109,DIST005,SKU001,REP01,47
263,20230109,DIST006,SKU002,REP04,28
264,20230109,DIST007,SKU003,REP01,39
265,20230109,DIST007,SKU004,REP01,10
266,20230109,DIST009,SKU002,REP01,28
267,20230109,DIST009,SKU005,REP01,28
268,20230109,DIST010,SKU002,REP02,48
269,20230109,DIST010,SKU005,REP02,22
270,20230109,DIST011,SKU001,REP04,45
271,20230109,DIST012,SKU002,REP04,10
272,20230109,DIST012,SKU005,REP04,11
273,20230109,DIST013,SKU001,REP03,35
274,20230109,DIST014,SKU003,REP02,18
275,20230109,DIST014,SKU004,REP02,36
276,20230109,DIST017,SKU005,REP02,12
277,20230109,DIST018,SKU001,REP01,18
278,20230109,DIST020,SKU003,REP03,20
279,20230109,DIST020,SKU004,REP03,25
280,20230110,DIST002,SKU001,REP03,41
281,20230110,DIST002,SKU002,REP03,39
282,20230110,DIST002,SKU003,REP03,21
283,20230110,DIST002,SKU005,REP03,49
284,20230110,DIST003,SKU002,REP02,45
285,20230110,DIST004,SKU004,REP01,20
286,20230110,DIST004,SKU005,REP01,15
287,20230110,DIST005,SKU003,REP01,34
288,20230110,DIST005,SKU005,REP01,31
289,20230110,DIST006,SKU004,REP04,17
290,20230110,DIST006,SKU005,REP04,30
291,20230110,DIST007,SKU001,REP01,39
292,20230110,DIST007,SKU003,REP01,45
293,20230110,DIST007,SKU005,REP01,40
294,20230110,DIST008,SKU001,REP02,18
295,20230110,DIST008,SKU005,REP02,12
296,20230110,DIST009,SKU001,REP01,39
297,20230110,DIST009,SKU002,REP01,38
298,20230110,DIST009,SKU003,REP01,30
299,20230110,DIST010,SKU001,REP02,34
300,20230110,DIST011,SKU001,REP04,49
301,20230110,DIST011,SKU002,REP04,20
302,20230110,DIST013,SKU002,REP03,48
303,20230110,DIST013,SKU005,REP03,45
304,20230110,DIST014,SKU004,REP02,24
305,20230110,DIST015,SKU001,REP04,29
306,20230110,DIST017,SKU003,REP02,25
307,20230110,DIST017,SKU004,REP02,30
308,20230110,DIST019,SKU001,REP04,37
309,20230110,DIST019,SKU003,REP04,20
310,20230110,DIST020,SKU001,REP03,23
311,20230110,DIST020,SKU004,REP03,23
312,20230110,DIST020,SKU005,REP03,20
313,20230111,DIST001,SKU001,REP01,31
314,20230111,DIST001,SKU003,REP01,16
315,20230111,DIST001,SKU005,REP01,35
316,20230111,DIST002,SKU002,REP03,43
317,20230111,DIST002,SKU004,REP03,13
318,20230111,DIST003,SKU004,REP02,35
319,20230111,DIST003,SKU005,REP02,21
320,20230111,DIST004,SKU005,REP01,36
321,20230111,DIST005,SKU004,REP01,27
322,20230111,DIST005,SKU005,REP01,28
323,20230111,DIST006,SKU003,REP04,26
324,20230111,DIST007,SKU002,REP01,49
325,20230111,DIST007,SKU003,REP01,31
326,20230111,DIST008,SKU003,REP02,45
327,20230111,DIST009,SKU002,REP01,28
328,20230111,DIST009,SKU003,REP01,21
329,20230111,DIST010,SKU001,REP02,48
330,20230111,DIST010,SKU002,REP02,37
331,20230111,DIST010,SKU005,REP02,33
332,20230111,DIST011,SKU003,REP04,14
333,20230111,DIST011,SKU005,REP04,47
334,20230111,DIST012,SKU001,REP04,18
335,20230111,DIST012,SKU002,REP04,13
336,20230111,DIST013,SKU003,REP03,36
337,20230111,DIST013,SKU004,REP03,22
338,20230111,DIST014,SKU005,REP02,28
339,20230111,DIST015,SKU002,REP04,41
340,20230111,DIST017,SKU004,REP02,50
341,20230111,DIST018,SKU002,REP01,10
342,20230111,DIST018,SKU004,REP01,15
